CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
370	Fevron'ja Shalugina	1	2	Continuing	-т-чэк	TRUE	PARTIAL	1.3	0	PH
371	Fevron'ja Shalugina	1	2	Continuing	NA	FALSE	NA	1.6	0	COP
372	Fevron'ja Shalugina	1	1	Continuing	NA	FALSE	NA	0	0	PH
373	Fevron'ja Shalugina	1	2	Falling	-йэк	FALSE	NA	0.2	0	COP
374	Fevron'ja Shalugina	1	1	Continuing	-йэк	FALSE	NA	0	0.2	COP
375	Fevron'ja Shalugina	1	2	Falling	-йэ	FALSE	NA	0.2	0	COP
376	Fevron'ja Shalugina	0	3	Falling	-йэк	FALSE	NA	0	0	COP
377	Fevron'ja Shalugina	1	2	Falling	-гэ-н	FALSE	NA	2.2	0	COP
378	Fevron'ja Shalugina	0	3	Continuing	NA	TRUE	FULL	0	0	PH
379	Fevron'ja Shalugina	0.25	5	Continuing	-йэк	FALSE	NA	0.2	0	COP
380	Fevron'ja Shalugina	1	1	Continuing	-т	FALSE	NA	0	0	PH
381	Fevron'ja Shalugina	1	2	Falling	NA	TRUE	FULL	0	0	PH
382	Fevron'ja Shalugina	1	3	Continuing	NA	FALSE	NA	0	0	PH
383	Fevron'ja Shalugina	0	2	Falling	-йэк	FALSE	NA	0.5	0	COP
384	Fevron'ja Shalugina	0	2	Continuing	-гэ	FALSE	NA	3.3	0	COP
385	Fevron'ja Shalugina	1	1	Continuing	-т-и	FALSE	NA	0	0	COP
386	Fevron'ja Shalugina	1	2	Continuing	-й	TRUE	PARTIAL	0	0	PH
387	Fevron'ja Shalugina	1	2	Continuing	-л-ӈин	FALSE	NA	0	0	PH
388	Vasilij Shalugin	0	2	Falling	-м	TRUE	FULL	2.2	1	PH
389	Vasilij Shalugin	1	1	Continuing	-гэ	TRUE	FULL	1.1	0	PH
390	Vasilij Shalugin	1	4	Continuing	-пул	TRUE	FULL	0	0.7	PH
391	Vasilij Shalugin	1	1	Continuing	-ги	TRUE	FULL	1.4	1.8	PH
392	Vasilij Shalugin	0	2	Continuing	-п-ки	TRUE	FULL	1.2	0	PH
393	Vasilij Shalugin	1	1	Continuing	-лэк	TRUE	FULL	0	0.4	PH
394	Vasilij Shalugin	1	1	Continuing	-лэк	TRUE	FULL	0.3	0	PH
395	Vasilij Shalugin	1	1	Continuing	-гэ	FALSE	NA	2	1.3	PH
396	Vasilij Shalugin	1	2	Falling	-гэ	FALSE	NA	1.3	4	PH
397	Vasilij Shalugin	0	2	Continuing	-т	FALSE	NA	1.2	0.6	COP
398	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	1.4	0.3	PH
399	Vasilij Shalugin	1	1	Continuing	-т	TRUE	FULL	0	0	PH
400	Vasilij Shalugin	1	2	Continuing	-ги	FALSE	NA	1.8	0	PH
401	Vasilij Shalugin	1	1	Truncated	-л	FALSE	NA	0	0	PH
402	Vasilij Shalugin	1	2	Continuing	-т	FALSE	NA	0	0.6	COP
403	Vasilij Shalugin	1	1	Falling	-т	FALSE	NA	0.3	0.9	COP
404	Vasilij Shalugin	0	2	Continuing	-гэ	FALSE	NA	0.3	0.9	PH
405	Vasilij Shalugin	1	2	Continuing	-т	FALSE	NA	0.3	0.9	COP
406	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	0	0.4	COP
407	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	2.8	0	COP
408	Vasilij Shalugin	1	1	Continuing	-т	FALSE	NA	0.9	2.7	COP
409	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	1.5	0.6	PH
410	Vasilij Shalugin	1	3	Continuing	-дэ-йнэ	FALSE	NA	0.6	1	COP
411	Vasilij Shalugin	1	2	Continuing	-т	FALSE	NA	2.8	0	COP
412	Vasilij Shalugin	0	2	Continuing	-гэ	FALSE	NA	1	2.7	PH
413	Vasilij Shalugin	1	2	Continuing	-т	FALSE	NA	1	2.7	PH
414	Vasilij Shalugin	1	2	Continuing	-ӈидэ	FALSE	NA	2.4	1	COP
415	Vasilij Shalugin	0	2	Falling	NA	TRUE	PARTIAL	0.4	1.9	PH
